,model_name,mae,mse,rmse,mpe,r2
0,lstm,2.8050592,13.781254,3.712311,-0.20355882588773966,0.8631255101569009
1,gru,3.0345914,16.417986,4.0519114,0.5665282253175974,0.8369376713483735
2,rnn,2.8972154,14.334686,3.7861176,0.2846753690391779,0.8576288673133754
3,mlp,7.662119,80.203545,8.955643,1.4780995436012745,0.2034237337371333
4,tcn,4.2165356,30.500721,5.5227456,0.5681120790541172,0.6970688823941505
