,model_name,mae,mse,rmse,mpe,r2
0,lstm,307.1117,151159.16,388.79193,-0.44051799923181534,0.7779387552596535
1,gru,821.1207,805596.2,897.5501,2.4916760623455048,-0.18346563638395774
2,rnn,282.53287,128928.63,359.06635,-0.16174991615116596,0.8105966397792302
3,mlp,750.84985,719124.8,848.01227,1.6166621819138527,-0.05643458044100025
4,tcn,624.19165,544667.8,738.0161,0.4105655010789633,0.19985256706813104
