,model_name,mae,mse,rmse,mpe,r2
0,1,27.498747,1207.7654,34.75292,0.025440059835091233,0.9541448938911212
1,2,31.387154,1463.8339,38.260082,0.3835208248347044,0.9444227708258381
2,3,31.098894,1477.2751,38.435337,0.0983764766715467,0.943912441469468
3,4,39.50451,2513.285,50.13267,0.4212331958115101,0.9045783638715366
4,5,82.72466,13152.263,114.68331,0.8779772557318211,0.5006494022155066
5,6,93.6487,13047.22,114.22443,1.109285932034254,0.5046375487793122
6,7,100.76999,14111.461,118.79167,1.0363741777837276,0.46423159737073827
7,8,93.83196,13278.821,115.233765,0.29919438529759645,0.49584429478800307
