,model_name,mae,mse,rmse,mpe,r2
0,Adam,29.799408,1348.3862,36.72038,0.038011284777894616,0.9488059556907392
1,RMSprop,55.759136,4682.8984,68.43171,1.0353808291256428,0.8222048671246338
2,AdamW,31.084326,1428.5253,37.795837,0.3159613814204931,0.945763325645737
3,Adagrad,99.18377,13135.674,114.61097,1.2299402616918087,0.5012792403720261
4,Adamax,53.309765,4143.229,64.36792,0.6018193438649178,0.8426944451647964
5,Rprop,130.18686,20078.842,141.69983,2.877453714609146,0.2376685849476814
