,model_name,mae,mse,rmse,mpe,r2
0,8,30.236002,1412.6866,37.585724,0.2196512883529067,0.9463646618954865
1,16,32.09524,1510.6036,38.866486,0.29956307262182236,0.9426470575306474
2,24,35.173786,1761.8457,41.974346,0.5057360511273146,0.9331081799619356
3,32,29.14214,1273.9508,35.692448,0.16625538701191545,0.95163203991438
4,40,28.308084,1328.7834,36.45248,-0.25162985548377037,0.9495502075589692
5,48,27.837202,1202.3285,34.67461,0.02957406104542315,0.9543513157601428
6,56,28.755486,1377.1382,37.109814,-0.2805162454023957,0.947714332400954
7,64,28.150005,1293.3223,35.96279,-0.15131981344893575,0.9508965658304811
